PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Nikola Jokić,DEN,Center,C,12.0 ,1,"$55,224,526 ","$64,291,629 ","$9,067,103 "
Shai Gilgeous-Alexander,OKC,Point,PG,11.0 ,2,"$38,333,050 ","$60,660,017 ","$22,326,967 "
Giannis Antetokounmpo,MIL,Big,PF,11.0 ,3,"$54,126,450 ","$60,660,017 ","$6,533,567 "
Luka Dončić,LAL,Point,PG,10.9 ,4,"$45,999,660 ","$60,095,253 ","$14,095,593 "
Victor Wembanyama,SAS,Center,C,10.3 ,5,"$13,376,880 ","$57,626,112 ","$44,249,232 "
Donovan Mitchell,CLE,Combo,SG,9.8 ,6,"$46,394,100 ","$54,799,886 ","$8,405,786 "
Jayson Tatum,BOS,Forward,PF,9.7 ,7,"$54,126,450 ","$54,034,733 ","($91,717)"
Anthony Edwards,MIN,Wing,SG,9.7 ,8,"$45,550,512 ","$54,034,733 ","$8,484,221 "
Anthony Davis,DAL,Big,PF,9.6 ,9,"$54,126,450 ","$53,643,165 ","($483,285)"
Stephen Curry,GSW,Point,PG,9.5 ,10,"$59,606,817 ","$53,245,564 ","($6,361,253)"
Kevin Durant,HOU,Forward,PF,9.2 ,11,"$54,708,609 ","$51,166,316 ","($3,542,293)"
Tyrese Haliburton,IND,Combo,PG,9.1 ,12,"$45,550,512 ","$50,732,115 ","$5,181,603 "
Jalen Brunson,NYK,Point,PG,9.1 ,13,"$34,944,001 ","$50,291,782 ","$15,347,781 "
LeBron James,LAL,Forward,SF,8.9 ,14,"$52,627,153 ","$48,934,025 ","($3,693,128)"
Karl-Anthony Towns,NYK,Center,C,8.7 ,15,"$53,142,264 ","$47,998,341 ","($5,143,923)"
James Harden,LAC,Point,PG,8.7 ,16,"$39,182,693 ","$47,998,341 ","$8,815,648 "
Joel Embiid,PHI,Center,C,8.7 ,17,"$55,224,526 ","$47,521,408 ","($7,703,118)"
