Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
1,Nikola Jokić,DEN,C,Center,12.0 ,"$55,224,526 ","$64,291,629 ","$9,067,103"
2,Shai Gilgeous-Alexander,OKC,PG,Point,11.0 ,"$38,333,050 ","$60,660,017 ","$22,326,967"
3,Giannis Antetokounmpo,MIL,PF,Big,11.0 ,"$54,126,450 ","$60,660,017 ","$6,533,567"
4,Luka Dončić,LAL,PG,Point,10.9 ,"$45,999,660 ","$60,095,253 ","$14,095,593"
5,Victor Wembanyama,SAS,C,Center,10.3 ,"$13,376,880 ","$57,626,112 ","$44,249,232"
6,Donovan Mitchell,CLE,SG,Combo,9.8 ,"$46,394,100 ","$54,799,886 ","$8,405,786"
7,Jayson Tatum,BOS,PF,Forward,9.7 ,"$54,126,450 ","$54,034,733 ","-$91,717"
8,Anthony Edwards,MIN,SG,Wing,9.7 ,"$45,550,512 ","$54,034,733 ","$8,484,221"
9,Anthony Davis,DAL,PF,Big,9.6 ,"$54,126,450 ","$53,643,165 ","-$483,285"
10,Stephen Curry,GSW,PG,Point,9.5 ,"$59,606,817 ","$53,245,564 ","-$6,361,253"
11,Kevin Durant,HOU,PF,Forward,9.2 ,"$54,708,609 ","$51,166,316 ","-$3,542,293"
12,Tyrese Haliburton,IND,PG,Combo,9.1 ,"$45,550,512 ","$50,732,115 ","$5,181,603"
13,Jalen Brunson,NYK,PG,Point,9.1 ,"$34,944,001 ","$50,291,782 ","$15,347,781"
14,LeBron James,LAL,SF,Forward,8.9 ,"$52,627,153 ","$48,934,025 ","-$3,693,128"
15,Karl-Anthony Towns,NYK,C,Center,8.7 ,"$53,142,264 ","$47,998,341 ","-$5,143,923"
16,James Harden,LAC,PG,Point,8.7 ,"$39,182,693 ","$47,998,341 ","$8,815,648"
17,Joel Embiid,PHI,C,Center,8.7 ,"$55,224,526 ","$47,521,408 ","-$7,703,118"
18,Cade Cunningham,DET,PG,Point,8.7 ,"$46,394,100 ","$47,521,408 ","$1,127,308"
19,Jalen Williams,OKC,SF,Forward,8.7 ,"$6,580,997 ","$47,521,408 ","$40,940,411"
20,Kawhi Leonard,LAC,SF,Forward,8.5 ,"$50,000,000 ","$46,549,517 ","-$3,450,483"
21,Evan Mobley,CLE,PF,Big,8.5 ,"$46,394,100 ","$46,054,638 ","-$339,462"
22,Jimmy Butler III,GSW,SF,Forward,8.3 ,"$54,126,450 ","$45,047,263 ","-$9,079,187"
23,Kyrie Irving,DAL,PG,Combo,8.3 ,"$36,566,002 ","$45,047,263 ","$8,481,261"
24,Devin Booker,PHX,SG,Combo,8.3 ,"$53,142,264 ","$44,534,882 ","-$8,607,382"
25,Pascal Siakam,IND,PF,Big,8.3 ,"$45,550,512 ","$44,534,882 ","-$1,015,630"
26,Franz Wagner,ORL,SF,Forward,8.2 ,"$38,661,750 ","$44,016,796 ","$5,355,046"
27,Jaren Jackson Jr.,MEM,PF,Big,8.1 ,"$35,000,000 ","$43,493,078 ","$8,493,078"
28,Alperen Sengun,HOU,C,Center,7.9 ,"$33,944,954 ","$41,343,654 ","$7,398,700"
29,Derrick White,BOS,SG,Combo,7.9 ,"$28,100,000 ","$41,343,654 ","$13,243,654"
30,Ja Morant,MEM,PG,Point,7.9 ,"$39,446,090 ","$41,343,654 ","$1,897,564"
31,Tyrese Maxey,PHI,PG,Combo,7.8 ,"$37,958,760 ","$40,793,164 ","$2,834,404"
32,Domantas Sabonis,SAC,C,Center,7.8 ,"$42,336,000 ","$40,793,164 ","-$1,542,836"
33,Trae Young,ATL,PG,Point,7.8 ,"$45,999,660 ","$40,793,164 ","-$5,206,496"
34,Paolo Banchero,ORL,PF,Forward,7.7 ,"$15,334,769 ","$39,677,234 ","$24,342,465"
35,Zion Williamson,NOP,PF,Forward,7.6 ,"$39,446,090 ","$39,112,060 ","-$334,030"
36,Ivica Zubac,LAC,C,Center,7.5 ,"$18,102,000 ","$38,542,270 ","$20,440,270"
37,Jaylen Brown,BOS,SF,Wing,7.5 ,"$53,142,264 ","$37,968,016 ","-$15,174,248"
38,Damian Lillard,POR,PG,Point,7.4 ,"$14,104,000 ","$37,389,462 ","$23,285,462"
39,Amen Thompson,HOU,SG,Wing,7.3 ,"$9,690,600 ","$36,806,776 ","$27,116,176"
40,Chet Holmgren,OKC,PF,Big,7.3 ,"$13,731,368 ","$36,806,776 ","$23,075,408"
41,Tyler Herro,MIA,SG,Combo,7.3 ,"$31,000,000 ","$36,806,776 ","$5,806,776"
42,Darius Garland,CLE,PG,Point,7.3 ,"$39,446,090 ","$36,220,139 ","-$3,225,951"
43,Jamal Murray,DEN,PG,Combo,7.3 ,"$46,394,100 ","$36,220,139 ","-$10,173,961"
44,Bam Adebayo,MIA,PF,Big,7.2 ,"$37,096,620 ","$35,629,738 ","-$1,466,882"
45,Desmond Bane,ORL,SG,Wing,7.1 ,"$36,725,670 ","$34,438,443 ","-$2,287,227"
